"","Fleet","FGroup","Fleet_global","Fleet_atl","Fleet_mz","Fleet_ewe"
"137","Lines_Unspecified","cephalopods","Lines_Unspecified_cephalopods",NA,NA,NA
"138","Lines_Unspecified","demersal30-90cm","Lines_Unspecified_demersal30-90cm",NA,NA,NA
"139","Lines_Unspecified","demersal<30cm","Lines_Unspecified_demersal<30cm",NA,NA,NA
"140","Lines_Unspecified","demersal>=90cm","Lines_Unspecified_demersal>=90cm",NA,NA,NA
"141","Lines_Unspecified","demersalmollusc","Lines_Unspecified_demersalmollusc",NA,NA,NA
"142","Lines_Unspecified","flatfish<90cm","Lines_Unspecified_flatfish<90cm",NA,NA,NA
"143","Lines_Unspecified","lobsterscrab","Lines_Unspecified_lobsterscrab",NA,NA,NA
"144","Lines_Unspecified","pelagic30-90cm","Lines_Unspecified_pelagic30-90cm",NA,NA,NA
"145","Lines_Unspecified","pelagic<30cm","Lines_Unspecified_pelagic<30cm",NA,NA,NA
"146","Lines_Unspecified","pelagic>=90cm","Lines_Unspecified_pelagic>=90cm",NA,NA,NA
"147","Lines_Unspecified","rays<90cm","Lines_Unspecified_rays<90cm",NA,NA,NA
"148","Lines_Unspecified","reef-associated30-90cm","Lines_Unspecified_reef-associated30-90cm",NA,NA,NA
"149","Lines_Unspecified","reef-associated<30cm","Lines_Unspecified_reef-associated<30cm",NA,NA,NA
"150","Lines_Unspecified","shark>=90cm","Lines_Unspecified_shark>=90cm",NA,NA,NA
"151","Lines_Unspecified","shrimp","Lines_Unspecified_shrimp",NA,NA,NA
"152","Others_Multiple_Gears","bathydemersal30-90cm","Others_Multiple_Gears_bathydemersal30-90cm",NA,NA,NA
"153","Others_Multiple_Gears","bathydemersal<30cm","Others_Multiple_Gears_bathydemersal<30cm",NA,NA,NA
"154","Others_Multiple_Gears","bathydemersal>=90cm","Others_Multiple_Gears_bathydemersal>=90cm",NA,NA,NA
"155","Others_Multiple_Gears","bathypelagic30-90cm","Others_Multiple_Gears_bathypelagic30-90cm",NA,NA,NA
"156","Others_Multiple_Gears","bathypelagic<30cm","Others_Multiple_Gears_bathypelagic<30cm",NA,NA,NA
"157","Others_Multiple_Gears","bathypelagic>=90cm","Others_Multiple_Gears_bathypelagic>=90cm",NA,NA,NA
"158","Others_Multiple_Gears","benthopelagic30-90cm","Others_Multiple_Gears_benthopelagic30-90cm",NA,NA,NA
"159","Others_Multiple_Gears","benthopelagic>=90cm","Others_Multiple_Gears_benthopelagic>=90cm",NA,NA,NA
"160","Others_Multiple_Gears","cephalopods","Others_Multiple_Gears_cephalopods",NA,NA,NA
"161","Others_Multiple_Gears","demersal30-90cm","Others_Multiple_Gears_demersal30-90cm",NA,NA,NA
"162","Others_Multiple_Gears","demersal<30cm","Others_Multiple_Gears_demersal<30cm",NA,NA,NA
"163","Others_Multiple_Gears","demersal>=90cm","Others_Multiple_Gears_demersal>=90cm",NA,NA,NA
"164","Others_Multiple_Gears","demersalmollusc","Others_Multiple_Gears_demersalmollusc",NA,NA,NA
"165","Others_Multiple_Gears","flatfish<90cm","Others_Multiple_Gears_flatfish<90cm",NA,NA,NA
"166","Others_Multiple_Gears","lobsterscrab","Others_Multiple_Gears_lobsterscrab",NA,NA,NA
"167","Others_Multiple_Gears","pelagic30-90cm","Others_Multiple_Gears_pelagic30-90cm",NA,NA,NA
"168","Others_Multiple_Gears","pelagic<30cm","Others_Multiple_Gears_pelagic<30cm",NA,NA,NA
"169","Others_Multiple_Gears","pelagic>=90cm","Others_Multiple_Gears_pelagic>=90cm",NA,NA,NA
"170","Others_Multiple_Gears","rays<90cm","Others_Multiple_Gears_rays<90cm",NA,NA,NA
"171","Others_Multiple_Gears","rays>=90cm","Others_Multiple_Gears_rays>=90cm",NA,NA,NA
"172","Others_Multiple_Gears","reef-associated30-90cm","Others_Multiple_Gears_reef-associated30-90cm",NA,NA,NA
"173","Others_Multiple_Gears","reef-associated<30cm","Others_Multiple_Gears_reef-associated<30cm",NA,NA,NA
"174","Others_Multiple_Gears","reef-associated>=90cm","Others_Multiple_Gears_reef-associated>=90cm",NA,NA,NA
"175","Others_Multiple_Gears","shark>=90cm","Others_Multiple_Gears_shark>=90cm",NA,NA,NA
"176","Others_Multiple_Gears","shrimp","Others_Multiple_Gears_shrimp",NA,NA,NA
"177","Others_Others","bathydemersal30-90cm","Others_Others_bathydemersal30-90cm",NA,NA,NA
"178","Others_Others","bathydemersal<30cm","Others_Others_bathydemersal<30cm",NA,NA,NA
"179","Others_Others","bathydemersal>=90cm","Others_Others_bathydemersal>=90cm",NA,NA,NA
"180","Others_Others","bathypelagic30-90cm","Others_Others_bathypelagic30-90cm",NA,NA,NA
"181","Others_Others","bathypelagic<30cm","Others_Others_bathypelagic<30cm",NA,NA,NA
"182","Others_Others","bathypelagic>=90cm","Others_Others_bathypelagic>=90cm",NA,NA,NA
"183","Others_Others","benthopelagic30-90cm","Others_Others_benthopelagic30-90cm",NA,NA,NA
"184","Others_Others","benthopelagic<30cm","Others_Others_benthopelagic<30cm",NA,NA,NA
"185","Others_Others","benthopelagic>=90cm","Others_Others_benthopelagic>=90cm",NA,NA,NA
"186","Others_Others","cephalopods","Others_Others_cephalopods",NA,NA,NA
"187","Others_Others","demersal30-90cm","Others_Others_demersal30-90cm",NA,NA,NA
"188","Others_Others","demersal<30cm","Others_Others_demersal<30cm",NA,NA,NA
"189","Others_Others","demersal>=90cm","Others_Others_demersal>=90cm",NA,NA,NA
"190","Others_Others","demersalmollusc","Others_Others_demersalmollusc",NA,NA,NA
"191","Others_Others","flatfish<90cm","Others_Others_flatfish<90cm",NA,NA,NA
"192","Others_Others","lobsterscrab","Others_Others_lobsterscrab",NA,NA,NA
"193","Others_Others","pelagic30-90cm","Others_Others_pelagic30-90cm",NA,NA,NA
"194","Others_Others","pelagic<30cm","Others_Others_pelagic<30cm",NA,NA,NA
"195","Others_Others","pelagic>=90cm","Others_Others_pelagic>=90cm",NA,NA,NA
"196","Others_Others","rays<90cm","Others_Others_rays<90cm",NA,NA,NA
"197","Others_Others","rays>=90cm","Others_Others_rays>=90cm",NA,NA,NA
"198","Others_Others","reef-associated30-90cm","Others_Others_reef-associated30-90cm",NA,NA,NA
"199","Others_Others","reef-associated<30cm","Others_Others_reef-associated<30cm",NA,NA,NA
"200","Others_Others","shark>=90cm","Others_Others_shark>=90cm",NA,NA,NA
"201","Others_Others","shrimp","Others_Others_shrimp",NA,NA,NA
"202","Others_Support","bathydemersal30-90cm","Others_Support_bathydemersal30-90cm",NA,NA,NA
"203","Others_Support","bathydemersal>=90cm","Others_Support_bathydemersal>=90cm",NA,NA,NA
"204","Others_Support","bathypelagic30-90cm","Others_Support_bathypelagic30-90cm",NA,NA,NA
"205","Others_Support","bathypelagic<30cm","Others_Support_bathypelagic<30cm",NA,NA,NA
"206","Others_Support","bathypelagic>=90cm","Others_Support_bathypelagic>=90cm",NA,NA,NA
"207","Others_Support","benthopelagic30-90cm","Others_Support_benthopelagic30-90cm",NA,NA,NA
"208","Others_Support","benthopelagic>=90cm","Others_Support_benthopelagic>=90cm",NA,NA,NA
"209","Others_Support","cephalopods","Others_Support_cephalopods",NA,NA,NA
"210","Others_Support","demersal30-90cm","Others_Support_demersal30-90cm",NA,NA,NA
"211","Others_Support","demersal<30cm","Others_Support_demersal<30cm",NA,NA,NA
"212","Others_Support","demersal>=90cm","Others_Support_demersal>=90cm",NA,NA,NA
"213","Others_Support","demersalmollusc","Others_Support_demersalmollusc",NA,NA,NA
"214","Others_Support","flatfish<90cm","Others_Support_flatfish<90cm",NA,NA,NA
"215","Others_Support","lobsterscrab","Others_Support_lobsterscrab",NA,NA,NA
"216","Others_Support","pelagic30-90cm","Others_Support_pelagic30-90cm",NA,NA,NA
"217","Others_Support","pelagic<30cm","Others_Support_pelagic<30cm",NA,NA,NA
"218","Others_Support","pelagic>=90cm","Others_Support_pelagic>=90cm",NA,NA,NA
"219","Others_Support","rays<90cm","Others_Support_rays<90cm",NA,NA,NA
"220","Others_Support","rays>=90cm","Others_Support_rays>=90cm",NA,NA,NA
"221","Others_Support","reef-associated30-90cm","Others_Support_reef-associated30-90cm",NA,NA,NA
"222","Others_Support","reef-associated<30cm","Others_Support_reef-associated<30cm",NA,NA,NA
"223","Others_Support","shark>=90cm","Others_Support_shark>=90cm",NA,NA,NA
"224","Others_Support","shrimp","Others_Support_shrimp",NA,NA,NA
"225","Others_Unknown","bathydemersal30-90cm","Others_Unknown_bathydemersal30-90cm",NA,NA,NA
"226","Others_Unknown","bathydemersal>=90cm","Others_Unknown_bathydemersal>=90cm",NA,NA,NA
"227","Others_Unknown","bathypelagic30-90cm","Others_Unknown_bathypelagic30-90cm",NA,NA,NA
"228","Others_Unknown","bathypelagic<30cm","Others_Unknown_bathypelagic<30cm",NA,NA,NA
"229","Others_Unknown","bathypelagic>=90cm","Others_Unknown_bathypelagic>=90cm",NA,NA,NA
"230","Others_Unknown","benthopelagic30-90cm","Others_Unknown_benthopelagic30-90cm",NA,NA,NA
"231","Others_Unknown","benthopelagic>=90cm","Others_Unknown_benthopelagic>=90cm",NA,NA,NA
"232","Others_Unknown","cephalopods","Others_Unknown_cephalopods",NA,NA,NA
"233","Others_Unknown","demersal30-90cm","Others_Unknown_demersal30-90cm",NA,NA,NA
"234","Others_Unknown","demersal<30cm","Others_Unknown_demersal<30cm",NA,NA,NA
"235","Others_Unknown","demersal>=90cm","Others_Unknown_demersal>=90cm",NA,NA,NA
"236","Others_Unknown","demersalmollusc","Others_Unknown_demersalmollusc",NA,NA,NA
"237","Others_Unknown","flatfish<90cm","Others_Unknown_flatfish<90cm",NA,NA,NA
"238","Others_Unknown","lobsterscrab","Others_Unknown_lobsterscrab",NA,NA,NA
"239","Others_Unknown","pelagic30-90cm","Others_Unknown_pelagic30-90cm",NA,NA,NA
"240","Others_Unknown","pelagic<30cm","Others_Unknown_pelagic<30cm",NA,NA,NA
"241","Others_Unknown","pelagic>=90cm","Others_Unknown_pelagic>=90cm",NA,NA,NA
"242","Others_Unknown","rays<90cm","Others_Unknown_rays<90cm",NA,NA,NA
"243","Others_Unknown","rays>=90cm","Others_Unknown_rays>=90cm",NA,NA,NA
"244","Others_Unknown","reef-associated30-90cm","Others_Unknown_reef-associated30-90cm",NA,NA,NA
"245","Others_Unknown","reef-associated<30cm","Others_Unknown_reef-associated<30cm",NA,NA,NA
"246","Others_Unknown","shark>=90cm","Others_Unknown_shark>=90cm",NA,NA,NA
"247","Others_Unknown","shrimp","Others_Unknown_shrimp",NA,NA,NA
"248","Pots_and_Traps","bathydemersal30-90cm","Pots_and_Traps_bathydemersal30-90cm",NA,NA,NA
"249","Pots_and_Traps","bathydemersal<30cm","Pots_and_Traps_bathydemersal<30cm",NA,NA,NA
"250","Pots_and_Traps","bathydemersal>=90cm","Pots_and_Traps_bathydemersal>=90cm",NA,NA,NA
"251","Pots_and_Traps","bathypelagic30-90cm","Pots_and_Traps_bathypelagic30-90cm",NA,NA,NA
"252","Pots_and_Traps","bathypelagic<30cm","Pots_and_Traps_bathypelagic<30cm",NA,NA,NA
"253","Pots_and_Traps","bathypelagic>=90cm","Pots_and_Traps_bathypelagic>=90cm",NA,NA,NA
"254","Pots_and_Traps","benthopelagic30-90cm","Pots_and_Traps_benthopelagic30-90cm",NA,NA,NA
"255","Pots_and_Traps","benthopelagic<30cm","Pots_and_Traps_benthopelagic<30cm",NA,NA,NA
"256","Pots_and_Traps","benthopelagic>=90cm","Pots_and_Traps_benthopelagic>=90cm",NA,NA,NA
"257","Pots_and_Traps","cephalopods","Pots_and_Traps_cephalopods",NA,NA,NA
"258","Pots_and_Traps","demersal30-90cm","Pots_and_Traps_demersal30-90cm",NA,NA,NA
"259","Pots_and_Traps","demersal<30cm","Pots_and_Traps_demersal<30cm",NA,NA,NA
"260","Pots_and_Traps","demersal>=90cm","Pots_and_Traps_demersal>=90cm",NA,NA,NA
"261","Pots_and_Traps","demersalmollusc","Pots_and_Traps_demersalmollusc",NA,NA,NA
"262","Pots_and_Traps","flatfish<90cm","Pots_and_Traps_flatfish<90cm",NA,NA,NA
"263","Pots_and_Traps","lobsterscrab","Pots_and_Traps_lobsterscrab",NA,NA,NA
"264","Pots_and_Traps","pelagic30-90cm","Pots_and_Traps_pelagic30-90cm",NA,NA,NA
"265","Pots_and_Traps","pelagic<30cm","Pots_and_Traps_pelagic<30cm",NA,NA,NA
"266","Pots_and_Traps","pelagic>=90cm","Pots_and_Traps_pelagic>=90cm",NA,NA,NA
"267","Pots_and_Traps","rays<90cm","Pots_and_Traps_rays<90cm",NA,NA,NA
"268","Pots_and_Traps","rays>=90cm","Pots_and_Traps_rays>=90cm",NA,NA,NA
"269","Pots_and_Traps","reef-associated30-90cm","Pots_and_Traps_reef-associated30-90cm",NA,NA,NA
"270","Pots_and_Traps","reef-associated<30cm","Pots_and_Traps_reef-associated<30cm",NA,NA,NA
"271","Pots_and_Traps","shark>=90cm","Pots_and_Traps_shark>=90cm",NA,NA,NA
"272","Pots_and_Traps","shrimp","Pots_and_Traps_shrimp",NA,NA,NA
"273","Seine_Danish_and_Other","bathydemersal30-90cm","Seine_Danish_and_Other_bathydemersal30-90cm",NA,NA,NA
"274","Seine_Danish_and_Other","bathydemersal<30cm","Seine_Danish_and_Other_bathydemersal<30cm",NA,NA,NA
"275","Seine_Danish_and_Other","bathydemersal>=90cm","Seine_Danish_and_Other_bathydemersal>=90cm",NA,NA,NA
"276","Seine_Danish_and_Other","bathypelagic30-90cm","Seine_Danish_and_Other_bathypelagic30-90cm",NA,NA,NA
"277","Seine_Danish_and_Other","bathypelagic<30cm","Seine_Danish_and_Other_bathypelagic<30cm",NA,NA,NA
